Date,Open,High,Low,Close,Adj Close,Volume
2011-08-18,69.739998,69.959999,68.320000,69.379997,47.471455,4174800
2011-08-19,68.330002,70.230003,68.169998,69.389999,47.478287,3031700
2011-08-22,70.400002,70.769997,69.400002,69.919998,47.840931,1990200
2011-08-23,70.230003,71.980003,70.110001,71.879997,49.181999,2530900
2011-08-24,71.769997,73.290001,71.519997,73.260002,50.126236,1710300
2011-08-25,73.529999,73.750000,71.730003,72.040001,49.291500,2004400
2011-08-26,71.709999,73.269997,70.519997,73.250000,50.119400,1842500
2011-08-29,73.809998,74.459999,73.139999,74.070000,50.680473,1869100
2011-08-30,73.209999,74.570000,72.500000,74.099998,51.219616,2193800
2011-08-31,74.580002,74.750000,73.669998,74.190002,51.281830,1814500
2011-09-01,74.400002,75.000000,72.949997,73.050003,50.493855,2352800
2011-09-02,72.139999,72.660004,71.129997,71.370003,49.332561,2202800
2011-09-06,69.669998,71.330002,69.099998,71.220001,49.228901,2347900
2011-09-07,72.099998,73.180000,71.430000,72.940002,50.417805,1668400
2011-09-08,72.550003,73.000000,71.820000,71.940002,49.726589,1735700
2011-09-09,71.160004,71.980003,70.529999,71.570000,49.470837,2546700
2011-09-12,70.500000,72.290001,70.500000,72.239998,49.933956,2527900
2011-09-13,72.620003,74.220001,72.160004,72.709999,50.258804,3090600
2011-09-14,73.070000,74.500000,72.610001,73.580002,50.860203,2807500
2011-09-15,73.760002,75.500000,73.760002,75.440002,52.145859,2038400
2011-09-16,75.279999,76.209999,74.510002,76.029999,52.553684,4099500
2011-09-19,75.059998,77.040001,74.839996,76.690002,53.009907,3547000
2011-09-20,76.940002,76.989998,75.320000,75.440002,52.145859,3063100
2011-09-21,75.470001,75.730003,72.650002,72.650002,50.217354,4054200
2011-09-22,70.870003,74.209999,70.769997,73.139999,50.556042,5399200
2011-09-23,73.480003,74.720001,71.739998,72.089996,49.830265,4777100
2011-09-26,72.980003,73.800003,72.190002,73.779999,50.998440,4816700
2011-09-27,75.169998,75.230003,73.709999,74.269997,51.337120,2929300
2011-09-28,74.300003,74.919998,73.239998,73.320000,50.680454,1831200
